


     NET PURCHASES OF U.S. TREASURY BONDS & NOTES BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     MONTH        PURCHASES     INSTITUTIONS   FOREIGNERS    ORGANIZATIONS
     -------   ---------------  ------------  ------------  ---------------

     2023-01            50,943       -46,148        98,237           -1,146
     2022-12            19,978        -2,426        22,671             -267
     2022-11            54,209       -13,025        67,662             -428
     2022-10            61,907       -23,873        85,945             -165
     2022-09            60,430       -37,541        97,988              -17
     2022-08           175,162        -7,689       184,104           -1,253
     2022-07            23,019        -2,977        26,504             -508
     2022-06            58,898        -6,169        65,149              -82
     2022-05            99,864       -34,072       134,847             -911
     2022-04            -1,389       -12,331        10,865               77
     2022-03            48,954       -32,274        80,812              416
     2022-02            78,375       -13,191        91,877             -311
     2022-01            74,619        12,281        62,255               83
     2021-12            44,202        -9,680        53,323              559
     2021-11            66,055       -31,851        97,967              -61
     2021-10           -43,522         7,343       -50,811              -54
     2021-09             1,364        -7,582         9,153             -207
     2021-08            32,425       -20,988        53,600             -187
     2021-07            10,192          -206        10,625             -227
     2021-06            10,863       -19,200        29,354              709
     2021-05           -93,356       -15,546       -77,079             -731
     2021-04            49,572         5,739        43,626              207
     2021-03           118,873        47,811        70,979               83
     2021-02           -65,464        -4,511       -61,005               52
     2021-01           -49,014         1,274       -49,889             -399
     2020-12           -20,696        -2,280       -18,509               93
     2020-11             9,647       -21,162        32,557           -1,748
     2020-10           -20,073         6,022       -26,173               78
     2020-09            22,531         6,107        16,579             -155
     2020-08           -33,055         4,179       -37,185              -49
     2020-07           -22,787       -20,717        -2,037              -33
     2020-06            28,888       -20,633        50,366             -845
     2020-05           -36,685        10,000       -46,824              139
     2020-04          -187,561       -46,386      -140,779             -396
     2020-03          -310,793       -61,203      -249,633               43
     2020-02             3,141        -2,374         5,545              -30
     2020-01            27,401       -18,678        45,868              211
     2019-12            42,213        -6,529        48,601              141
     2019-11           -39,597       -23,876       -16,045              324
     2019-10           -16,758       -41,530        24,954             -182
     2019-09           -40,029       -52,827        13,877           -1,079
     2019-08           -38,392       -50,530        12,006              132
     2019-07             6,851       -31,915        39,092             -326
     2019-06            -9,922       -14,605         4,859             -176
     2019-05           -31,637       -21,848        -9,793                4
     2019-04             8,396       -31,029        40,392             -967
     2019-03            -6,473       -12,443         6,029              -59
     2019-02            12,900       -17,520        30,007              413
     2019-01           -21,041       -26,524         5,810             -327
     2018-12           -73,773       -24,288       -49,314             -171
     2018-11           -13,204       -33,287        20,712             -629
     2018-10             1,720       -42,646        44,877             -511
     2018-09           -11,539       -15,677         3,837              301
     2018-08            63,131         7,894        55,573             -336
     2018-07            18,938       -22,773        41,436              275
     2018-06           -48,573        -8,322       -40,068             -183
     2018-05            26,699       -23,803        50,282              220
     2018-04            -4,776       -48,255        44,565           -1,086
     2018-03            -4,923        18,389       -23,054             -258
     2018-02            43,186        19,059        24,073               54
     2018-01             8,350        -5,215        14,781           -1,216
     2017-12           -15,960        -6,054        -9,038             -868
     2017-11           -18,825        -6,733       -12,165               73
     2017-10           -22,264       -20,206          -468           -1,590
     2017-09            12,735          -399        13,925             -791
     2017-08            17,477        -2,217        20,832           -1,138
     2017-07              -490       -15,938        16,371             -923
     2017-06            19,732         8,629        10,798              305
     2017-05            46,367       -35,925        81,309              983
     2017-04           -22,528        -7,978       -12,637           -1,913
     2017-03            24,385        -7,023        30,846              562
     2017-02           -13,475       -12,019        -1,927              471
     2017-01            -7,174       -43,499        36,527             -202
     2016-12           -22,503        17,785       -40,353               65
     2016-11               318        -1,927         2,256              -11
     2016-10           -59,768       -46,439       -14,220              891
     2016-09           -74,329       -42,205       -30,965           -1,159
     2016-08           -22,785       -42,058        20,188             -915
     2016-07           -12,750       -28,154        16,848           -1,444
     2016-06           -26,753       -33,677         8,665           -1,741
     2016-05           -19,864       -23,198         6,343           -3,009
     2016-04           -73,900       -10,999       -59,661           -3,240
     2016-03            26,436       -16,292        43,313             -585
     2016-02            10,404       -47,200        59,566           -1,962
     2016-01           -50,298       -57,161         7,708             -845
     2015-12           -35,905       -48,099        13,620           -1,426
     2015-11            38,372           892        36,354            1,126
     2015-10           -55,153       -17,023       -36,785           -1,345
     2015-09            17,357       -17,234        32,129            2,462
     2015-08           -34,966       -41,103         8,975           -2,838
     2015-07           -28,717       -21,453        -5,426           -1,838
     2015-06            72,010       -10,887        80,209            2,688
     2015-05            53,358        -4,604        58,145             -183
     2015-04             6,441       -24,176        30,664              -47
     2015-03             8,037       -23,644        33,429           -1,748
     2015-02            -6,149       -11,133         6,835           -1,851
     2015-01           -54,987       -12,374       -42,305             -308
     2014-12           -15,602       -17,078          -875            2,351
     2014-11            -4,833        -7,547         2,585              129
     2014-10               539        -2,514         5,867           -2,814
     2014-09            48,139         3,935        45,817           -1,613
     2014-08            25,704         3,568        22,496             -360
     2014-07              -828        -5,974         7,008           -1,862
     2014-06           -20,796        20,073       -36,882           -3,987
     2014-05            28,031        19,749         7,761              521
     2014-04           -10,589        18,890       -26,026           -3,453
     2014-03            29,854        12,058        18,064             -268
     2014-02            90,455        16,576        74,081             -202
     2014-01            -4,587       -16,674        13,160           -1,073
     2013-12            16,853       -11,761        27,835              779
     2013-11              -123        10,208        -8,000           -2,331
     2013-10            30,933        -1,893        33,359             -533
     2013-09            28,580       -23,239        51,326              493
     2013-08           -14,329       -10,872        -3,938              481
     2013-07            24,698       -15,889        40,955             -368
     2013-06           -40,825          -681       -39,255             -889
     2013-05            11,014        40,298       -32,621            3,337
     2013-04           -38,774       -23,781       -11,590           -3,403
     2013-03           -11,203       -17,097         9,539           -3,645
     2013-02             2,296        -6,783         8,083              996
     2013-01            31,758        53,050       -23,611            2,319
     2012-12            29,928         8,366        19,921            1,641
     2012-11            24,572        -3,512        28,365             -281
     2012-10            13,776         7,116         6,247              413
     2012-09           -20,291         2,231       -25,778            3,256
     2012-08            38,654        18,967        20,214             -527
     2012-07            56,380        31,855        28,248           -3,723
     2012-06            33,502        22,924        12,611           -2,033
     2012-05            74,924        22,192        56,209           -3,477
     2012-04            46,697        19,231        28,360             -894
     2012-03            17,480        34,025       -21,001            4,456
     2012-02            13,163        13,337         1,457           -1,631
     2012-01            87,659        33,124        52,716            1,819
     2011-12           -13,113       -20,277         5,291            1,873
     2011-11            60,789        23,666        34,867            2,256
