


     NET PURCHASES OF U.S.LONG-TERM U.S. AGENCY BONDS BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     MONTH        PURCHASES     INSTITUTIONS   FOREIGNERS    ORGANIZATIONS
     -------   ---------------  ------------  ------------  ---------------

     2023-01             5,879           952         4,938              -11
     2022-12            13,947         1,389        12,402              156
     2022-11            21,997         4,167        17,773               57
     2022-10            24,247        11,533        12,733              -19
     2022-09            28,268        13,397        14,853               18
     2022-08            18,529         5,714        12,817               -2
     2022-07            22,617         9,750        12,864                3
     2022-06            23,718         6,645        17,015               58
     2022-05            37,283        23,332        13,921               30
     2022-04            36,714        27,483         8,939              292
     2022-03            32,392        22,354        10,145             -107
     2022-02            21,277        19,662         1,594               21
     2022-01            22,634        16,683         5,914               37
     2021-12             6,250         6,444          -226               32
     2021-11            19,551         7,789        11,777              -15
     2021-10            31,260        15,960        15,240               60
     2021-09            22,726         5,860        17,050             -184
     2021-08            18,036        11,531         6,497                8
     2021-07            20,743        14,791         5,980              -28
     2021-06            22,742        15,808         6,795              139
     2021-05            37,818        22,136        15,659               23
     2021-04            46,787        28,518        18,278               -9
     2021-03            13,792        10,874         2,913                5
     2021-02            29,648        11,185        18,495              -32
     2021-01            52,176        26,105        26,068                3
     2020-12            51,236        12,254        38,800              182
     2020-11            53,391        30,103        23,512             -224
     2020-10            48,948        28,257        20,692               -1
     2020-09            46,248        11,572        34,847             -171
     2020-08            37,740        13,397        24,980             -637
     2020-07            34,443        12,226        23,064             -847
     2020-06            38,020         9,488        29,012             -480
     2020-05             2,431        14,524       -12,061              -32
     2020-04            21,143         9,005        12,362             -224
     2020-03            61,488        22,767        38,948             -227
     2020-02            39,429        21,463        18,171             -205
     2020-01            32,262        17,500        14,737               25
     2019-12            15,882         4,468        11,493              -79
     2019-11            28,311        15,389        12,886               36
     2019-10            31,889        11,826        19,964               99
     2019-09            26,020         6,785        19,176               59
     2019-08            30,503         3,208        27,168              127
     2019-07            39,644        16,041        23,164              439
     2019-06            37,540        12,010        25,417              113
     2019-05            14,873         2,719        11,831              323
     2019-04            25,305        10,635        14,798             -128
     2019-03             4,739         3,102         1,935             -298
     2019-02            22,468         9,375        13,380             -287
     2019-01            22,931        12,873        10,244             -186
     2018-12            15,032         2,012        13,106              -86
     2018-11            19,552         5,199        14,352                1
     2018-10            11,589         4,698         6,888                3
     2018-09            29,849        10,281        19,546               22
     2018-08            16,004         1,601        14,629             -226
     2018-07            23,613        10,196        13,554             -137
     2018-06            19,885         6,791        13,170              -76
     2018-05            15,220        13,531         1,738              -49
     2018-04            19,720         5,696        14,060              -36
     2018-03            25,277        18,245         6,911              121
     2018-02            11,821         6,276         5,583              -38
     2018-01            22,522         5,406        17,001              115
     2017-12            16,442         4,318        12,020              104
     2017-11            12,267         7,119         4,977              171
     2017-10             9,971         3,425         6,392              154
     2017-09             8,885          -177         9,074              -12
     2017-08             9,236         1,069         9,473           -1,306
     2017-07            10,289         4,424         5,989             -124
     2017-06            17,196           682        16,631             -117
     2017-05            22,344        11,865        10,489              -10
     2017-04             4,223         2,760         1,550              -87
     2017-03            -1,080          -532          -570               22
     2017-02            12,735         6,052         6,658               25
     2017-01            12,552         1,036        11,632             -116
     2016-12            12,657         1,149        11,778             -270
     2016-11            15,651         2,961        12,480              210
     2016-10            22,060         7,859        14,287              -86
     2016-09            23,923         4,757        19,185              -19
     2016-08            23,991         1,534        22,526              -69
     2016-07            33,448         6,528        26,920                0
     2016-06            24,884         3,094        21,766               24
     2016-05            26,825           525        26,336              -36
     2016-04            28,268         3,191        25,014               63
     2016-03            29,486         1,130        28,449              -93
     2016-02            18,509         6,324        12,395             -210
     2016-01             6,225         1,743         4,360              122
     2015-12             1,753         1,020           942             -209
     2015-11            13,936         3,714        10,249              -27
     2015-10            10,066           667         9,686             -287
     2015-09             4,621           249         4,298               74
     2015-08             9,734        -1,784        11,572              -54
     2015-07            10,387         2,690         7,866             -169
     2015-06            25,607         7,627        18,066              -86
     2015-05            14,941         4,949         9,981               11
     2015-04            30,218         6,084        24,141               -7
     2015-03            17,416         4,158        13,408             -150
     2015-02             8,936           930         8,308             -302
     2015-01             9,108         2,935         6,438             -265
     2014-12             1,231        -4,023         5,251                3
     2014-11            33,290        14,564        18,876             -150
     2014-10             3,850         1,614         2,427             -191
     2014-09            20,963         9,289        11,741              -67
     2014-08            10,290          -968        11,376             -118
     2014-07             7,479           295         7,520             -336
     2014-06             3,392         5,008        -1,481             -135
     2014-05             6,556         3,732         2,883              -59
     2014-04            -2,082           276        -2,347              -11
     2014-03            -8,604        -1,391        -7,147              -66
     2014-02             1,505         2,451          -897              -49
     2014-01            -3,266           527        -3,783              -10
     2013-12           -13,882        -5,112        -8,684              -86
     2013-11               695         1,721        -1,008              -18
     2013-10             2,783           959         1,904              -80
     2013-09            14,745         4,677        10,291             -223
     2013-08            19,509         8,144        11,380              -15
     2013-07            22,510        20,090         2,563             -143
     2013-06            -2,083         3,892        -5,923              -52
     2013-05           -10,317        -1,057        -9,021             -239
     2013-04            22,822        16,029         6,938             -145
     2013-03             8,657        16,675        -7,858             -160
     2013-02             1,576         3,743        -2,273              106
     2013-01             4,447         5,410        -1,090              127
     2012-12            18,131          -734        18,953              -88
     2012-11             9,463         1,448         7,826              189
     2012-10            11,937        -3,034        14,515              456
     2012-09            24,030         9,807        14,098              125
     2012-08            25,710         9,403        16,234               73
     2012-07             8,500        -8,016        16,487               29
     2012-06             2,283       -14,337        16,532               88
     2012-05            12,899         8,479         4,407               13
     2012-04            -4,162        -6,194         1,826              206
     2012-03             3,866        -5,373         9,102              137
     2012-02             9,159         7,433         1,778              -52
     2012-01            11,141          -135        11,145              131
     2011-12            27,215        10,818        16,428              -31
     2011-11             6,168        -5,283        11,512              -61
     2011-10             4,710           658         4,171             -119
     2011-09             6,439        -1,791         8,336             -106
     2011-08             7,693          -877         8,636              -66
     2011-07             7,781         1,354         6,363               64
     2011-06              -235        -2,383         2,174              -26
     2011-05            -8,532           647        -9,084              -95
     2011-04             6,913         1,834         5,385             -306
     2011-03            11,853         2,688         8,872              293
     2011-02            -1,045         5,797        -6,553             -289
     2011-01            11,944         9,859         2,309             -224
     2010-12            10,054          -445        10,392              107
     2010-11            14,002         3,968        10,103              -69
     2010-10             1,669        -5,317         7,062              -76
