


         NET PURCHASES OF U.S. CORPORATE BONDS BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     MONTH        PURCHASES     INSTITUTIONS   FOREIGNERS    ORGANIZATIONS
     -------   ---------------  ------------  ------------  ---------------

     2023-01             2,422          -653         3,097              -22
     2022-12            14,379           581        13,741               57
     2022-11            21,509           425        21,081                3
     2022-10             1,895          -435         2,390              -60
     2022-09             5,523        -1,892         7,499              -84
     2022-08             9,504         1,206         8,174              124
     2022-07             8,784         2,598         6,326             -140
     2022-06            13,992         2,089        11,867               36
     2022-05             4,462         1,296         3,162                4
     2022-04            22,459         2,630        19,783               46
     2022-03            33,417         4,664        28,738               15
     2022-02            20,327         1,690        18,686              -49
     2022-01             7,636         1,769         6,219             -352
     2021-12            -4,015         1,685        -5,682              -18
     2021-11             9,825           738         8,986              101
     2021-10            11,995           506        11,622             -133
     2021-09             1,092          -250         1,493             -151
     2021-08            14,803           389        14,262              152
     2021-07           -11,017          -301       -10,141             -575
     2021-06            13,835           564        13,430             -159
     2021-05            17,310          -579        17,912              -23
     2021-04            10,148           -10        10,424             -266
     2021-03            43,143         3,496        39,867             -220
     2021-02            14,506         1,304        13,820             -618
     2021-01            18,876           360        22,850           -4,334
     2020-12           -11,395         1,157       -12,524              -28
     2020-11               867         2,657        -1,785               -5
     2020-10           -21,511           -43       -21,305             -163
     2020-09           -28,726         1,211       -28,200           -1,737
     2020-08             2,301           932         2,357             -988
     2020-07           -54,345         1,409       -55,418             -336
     2020-06           -16,601           749       -17,293              -57
     2020-05            13,610         4,709         9,295             -394
     2020-04            11,308         2,180         9,686             -558
     2020-03             4,914         5,686           731           -1,503
     2020-02           -20,283         1,317       -21,628               28
     2020-01           -31,553          -319       -30,839             -395
     2019-12           -18,160        -1,326       -17,060              226
     2019-11            10,824           615        10,178               31
     2019-10            -6,587        -1,005        -5,603               21
     2019-09            14,893         1,202        13,808             -117
     2019-08           -20,977           987       -21,702             -262
     2019-07            -2,755        -1,385        -1,188             -182
     2019-06             9,263          -678         9,804              137
     2019-05            14,627           832        13,736               59
     2019-04            -4,965            51        -4,931              -85
     2019-03             3,917        -1,111         5,010               18
     2019-02            10,742        -1,568        12,408              -98
     2019-01             4,909        -2,432         7,426              -85
     2018-12           -10,811          -808        -9,961              -42
     2018-11            -3,651           189        -3,700             -140
     2018-10             2,314        -2,026         4,276               64
     2018-09             6,062          -320         6,458              -76
     2018-08            14,915            -8        14,793              130
     2018-07             5,993        -1,070         6,983               80
     2018-06            10,181           423         9,812              -54
     2018-05             7,256        -1,861         9,004              113
     2018-04             1,590        -1,440         2,979               51
     2018-03            22,370         1,615        20,763               -8
     2018-02             3,533         1,512         2,055              -34
     2018-01            -2,868          -288        -2,509              -71
     2017-12            -1,261          -960          -226              -75
     2017-11            28,639           -95        28,668               66
     2017-10            10,447          -204        10,767             -116
     2017-09            14,455        -1,176        15,778             -147
     2017-08            19,224         2,532        16,733              -41
     2017-07             2,927           205         2,795              -73
     2017-06             2,807          -720         3,676             -149
     2017-05            26,067         1,453        24,557               57
     2017-04             7,774            -8         7,854              -72
     2017-03             8,726         2,013         6,899             -186
     2017-02            17,587          -345        17,985              -53
     2017-01            -5,919        -1,031        -4,839              -49
     2016-12             4,551        -1,105         5,674              -18
     2016-11             7,276        -1,046         8,371              -49
     2016-10             5,110        -1,087         6,216              -19
     2016-09               856          -985         1,909              -68
     2016-08            19,716         1,187        18,427              102
     2016-07            16,340        -1,087        17,302              125
     2016-06             8,055           462         7,660              -67
     2016-05            19,572           650        18,971              -49
     2016-04               678        -1,640         2,239               79
     2016-03            25,528          -516        26,030               14
     2016-02            12,169          -534        12,909             -206
     2016-01             4,861           372         4,638             -149
     2015-12             4,523            54         4,413               56
     2015-11             5,054        -1,820         6,920              -46
     2015-10            12,104          -913        13,065              -48
     2015-09            15,640        -2,704        18,383              -39
     2015-08             9,508          -197         9,686               19
     2015-07            19,015           567        18,461              -13
     2015-06            13,871        -2,152        15,981               42
     2015-05            24,377         2,843        21,502               32
     2015-04             4,322          -311         4,605               28
     2015-03            11,498         2,120         9,342               36
     2015-02             9,325          -816         9,936              205
     2015-01             5,713          -891         6,655              -51
     2014-12             7,119           882         6,181               56
     2014-11            25,135          -525        25,453              207
     2014-10             7,895         1,556         6,389              -50
     2014-09            18,159         1,330        16,689              140
     2014-08            -7,305         1,269        -8,856              282
     2014-07            -7,089         1,380        -8,481               12
     2014-06            -3,608          -334        -3,309               35
     2014-05            -7,773         1,163        -8,928               -8
     2014-04            -8,510          -340        -8,154              -16
     2014-03             6,962           940         6,074              -52
     2014-02            -2,057          -511        -1,599               53
     2014-01            -4,885            43        -5,022               94
     2013-12            -6,932           477        -7,456               47
     2013-11            -1,783           845        -2,808              180
     2013-10             5,731         1,346         4,271              114
     2013-09             8,141         1,882         5,954              305
     2013-08              -324         1,003        -1,316              -11
     2013-07              -631            33          -485             -179
     2013-06            -8,563         1,923       -10,612              126
     2013-05             9,152         2,978         6,087               87
     2013-04            -4,919          -184        -4,876              141
     2013-03            -6,657         1,868        -8,585               60
     2013-02             9,261         1,006         8,088              167
     2013-01             7,868         2,994         4,891              -17
     2012-12             2,426           943         1,564              -81
     2012-11             8,190         2,235         6,047              -92
     2012-10             4,218           857         3,490             -129
     2012-09            -5,918         2,692        -8,553              -57
     2012-08            12,891         1,565        11,654             -328
     2012-07              -474           615          -971             -118
     2012-06           -23,570        -2,807       -20,367             -396
     2012-05            -6,404           651        -7,197              142
     2012-04            -3,239           469        -4,002              294
     2012-03            -4,125          -811        -3,064             -250
     2012-02            -7,105           699        -7,630             -174
     2012-01              -963          -157          -709              -97
     2011-12           -20,714        -1,385       -18,887             -442
     2011-11             4,835         1,286         3,710             -161
     2011-10           -10,577           361       -10,905              -33
     2011-09            -4,936           278        -5,047             -167
     2011-08               801         1,974        -1,007             -166
     2011-07             1,878          -373         2,358             -107
     2011-06           -12,478          -694       -11,533             -251
     2011-05             4,153          -377         4,727             -197
     2011-04            -4,585        -1,029        -3,424             -132
     2011-03             1,510           354         1,349             -193
     2011-02            -4,328        -1,066        -3,056             -206
     2011-01              -734          -508           280             -506
     2010-12             2,904          -656         3,777             -217
     2010-11             4,412           944         3,730             -262
     2010-10             7,183          -214         7,356               41
     2010-09             4,724           279         4,413               32
