


            NET PURCHASES OF U.S. EQUITIES BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     MONTH        PURCHASES     INSTITUTIONS   FOREIGNERS    ORGANIZATIONS
     -------   ---------------  ------------  ------------  ---------------

     2023-01           -27,521        -7,458       -20,072                9
     2022-12            54,980         1,467        53,560              -47
     2022-11            42,907        -3,752        46,639               20
     2022-10           -24,369         4,452       -28,840               19
     2022-09              -829         3,044        -3,786              -87
     2022-08           -27,394        -9,009       -18,402               17
     2022-07           -60,319        -3,226       -57,086               -7
     2022-06           -25,364         1,873       -27,224              -13
     2022-05            -9,150         1,125       -10,293               18
     2022-04            -6,882        -1,684        -5,230               32
     2022-03           -94,422        -3,777       -90,693               48
     2022-02           -25,374          -763       -24,622               11
     2022-01           -50,628        -5,962       -44,637              -29
     2021-12            30,450           951        29,496                3
     2021-11             8,352          -821         9,161               12
     2021-10           -21,827           551       -22,394               16
     2021-09           -10,951         1,763       -12,698              -16
     2021-08             8,633           644         7,967               22
     2021-07           -34,307        -5,365       -28,956               14
     2021-06            25,201        -5,387        30,595               -7
     2021-05            -2,356        -4,739         2,361               22
     2021-04           -13,052         1,891       -14,967               24
     2021-03            31,877         3,749        28,133               -5
     2021-02            14,165           -36        14,261              -60
     2021-01            11,642         2,893         8,780              -31
     2020-12            78,597           294        78,283               20
     2020-11            61,103         1,713        59,353               37
     2020-10            23,276         2,555        20,708               13
     2020-09            38,164           745        37,421               -2
     2020-08            26,576         7,245        19,309               22
     2020-07            16,545         1,227        15,287               31
     2020-06            28,530        -2,630        31,135               25
     2020-05            79,741         4,354        75,371               16
     2020-04            -5,477       -10,020         4,538                5
     2020-03             2,467         3,297          -814              -16
     2020-02            11,683           482        11,215              -14
     2020-01             5,792         2,839         2,975              -22
     2019-12            26,160        -1,666        27,803               23
     2019-11             8,521          -864         9,359               26
     2019-10            -4,239         2,070        -6,375               66
     2019-09             8,825         3,983         4,851               -9
     2019-08           -20,987         2,462       -23,433              -16
     2019-07            24,201         4,857        19,328               16
     2019-06            26,357         3,806        22,669             -118
     2019-05            -1,445         2,598        -3,795             -248
     2019-04            -1,027          -373          -660                6
     2019-03           -23,639           836       -24,486               11
     2019-02           -10,667        -1,671        -8,892             -104
     2019-01           -31,556           728       -32,269              -15
     2018-12           -18,180           820       -19,012               12
     2018-11            -5,664          -715        -4,954                5
     2018-10           -22,188         3,791       -25,947              -32
     2018-09           -16,913        -7,869        -9,137               93
     2018-08           -16,955        -2,318       -14,631               -6
     2018-07           -14,088           316       -14,380              -24
     2018-06           -27,048          -869       -26,289              110
     2018-05           -26,644         1,204       -27,876               28
     2018-04             6,062           534         5,454               74
     2018-03           -21,577        -2,335       -19,048             -194
     2018-02              -926          -549          -361              -16
     2018-01            34,396           952        33,418               26
     2017-12            31,783        -5,265        37,108              -60
     2017-11            12,626           717        12,074             -165
     2017-10            12,311        -1,066        13,349               28
     2017-09            26,258         3,044        23,239              -25
     2017-08            -5,341        -1,168        -4,134              -39
     2017-07           -11,989          -336       -11,591              -62
     2017-06            -4,472         1,439        -5,993               82
     2017-05               727           488           518             -279
     2017-04            14,332         2,787        11,524               21
     2017-03             3,497          -337         3,905              -71
     2017-02            21,424         1,718        19,764              -58
     2017-01            17,684        -1,491        19,141               34
     2016-12            -7,854          -507        -7,319              -28
     2016-11            -2,758            68        -2,836               10
     2016-10            22,554           884        21,654               16
     2016-09            -1,846          -408        -1,437               -1
     2016-08             3,109          -472         3,564               17
     2016-07            27,906         4,814        23,084                8
     2016-06            -7,824         1,246        -9,027              -43
     2016-05           -10,195         1,131       -10,791             -535
     2016-04              -812         1,227        -2,060               21
     2016-03           -16,179        -2,564       -13,589              -26
     2016-02           -14,195         1,212       -15,410                3
     2016-01             1,220        -1,259         2,447               32
     2015-12           -13,762        -4,328        -9,440                6
     2015-11           -13,073        -2,938       -10,072              -63
     2015-10           -12,803          -493       -12,340               30
     2015-09           -32,171        -5,609       -26,554               -8
     2015-08           -12,362         1,541       -13,764             -139
     2015-07             6,369          -265         6,609               25
     2015-06           -22,143            24       -22,121              -46
     2015-05            -9,894           463       -10,349               -8
     2015-04             4,438        -3,124         7,552               10
     2015-03           -26,945          -552       -26,437               44
     2015-02               846           775            19               52
     2015-01            16,571        -1,674        18,348             -103
     2014-12             4,908           294         4,559               55
     2014-11             5,771          -257         6,025                3
     2014-10           -27,241          -182       -26,961              -98
     2014-09             4,435             0         4,535             -100
     2014-08            -2,145         2,030        -3,988             -187
     2014-07            -3,497        -1,529        -1,903              -65
     2014-06             2,611         1,487         1,314             -190
     2014-05             9,800          -247        10,018               29
     2014-04            11,194          -852        12,060              -14
     2014-03           -15,266        -5,192       -10,024              -50
     2014-02              -888           -48          -853               13
     2014-01            -5,695          -433        -5,254               -8
     2013-12           -14,648          -544       -14,219              115
     2013-11            -7,924        -2,607        -5,323                6
     2013-10             6,812        -5,133        11,964              -19
     2013-09            12,492         1,403        11,270             -181
     2013-08           -16,880        -3,087       -13,795                2
     2013-07            -9,501           733       -10,231               -3
     2013-06           -27,132        -1,360       -25,746              -26
     2013-05            -8,239         1,564        -9,796               -7
     2013-04            11,010           794        10,226              -10
     2013-03             7,246         3,173         4,159              -86
     2013-02            -2,522          -301        -2,251               30
     2013-01             6,043         1,249         4,825              -31
     2012-12            25,224           575        24,550               99
     2012-11            22,515           -90        22,611               -6
     2012-10             3,661         1,235         2,453              -27
     2012-09            24,567           400        23,970              197
     2012-08             5,616           120         5,501               -5
     2012-07             8,123           800         7,213              110
     2012-06            -2,678         3,501        -6,287              108
     2012-05             2,524         1,138         1,222              164
     2012-04             2,206         2,219          -118              105
     2012-03             5,386           426         4,941               19
     2012-02             7,273        -1,098         8,265              106
     2012-01             4,374         1,120         3,148              106
     2011-12           -10,968         1,320       -12,392              104
     2011-11            -7,144        -1,987        -5,023             -134
     2011-10             2,752           919         1,777               56
     2011-09           -19,398           -32       -19,385               19
     2011-08            -6,520           -14        -6,473              -33
     2011-07            -1,078          -618          -480               20
     2011-06             3,793           844         2,922               27
     2011-05             9,246         1,374         7,887              -15
     2011-04            17,796         1,180        16,571               45
     2011-03            14,559           -78        14,608               29
     2011-02             6,091          -540         6,670              -39
     2011-01            15,946         2,084        13,591              271
     2010-12             6,763            76         6,716              -29
     2010-11            13,297        -1,243        14,540                0
